item	feature_0	feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9
0	0.423545759546	0.220446322614	0.487514614461	0.0661095146053	0.093688553574	0.0774191950511	0.104105646303	0.14992870274	0.100666156272	0.0539047957973
1	0.0661091731786	0.273956562148	0.394597917629	0.136829334003	0.0736249230554	0.0553216948617	0.0180009204592	0.0451119765165	0.241166487613	0.0461474204855
2	0.151527327184	0.00862017447193	0.0309330951404	0.0469577588937	0.135284666889	0.119064907947	0.0591023007611	0.0916189193576	0.0822708403051	0.0297278058767
3	0.830891032439	0.113273612962	0.0274090303258	0.165029199366	0.421129674137	0.161625540953	0.0112377978316	0.045183129571	0.101988291643	0.024608965319
4	0.68351529178	0.213046018854	0.43423608208	0.103636501856	0.0292938257494	0.143881941496	0.0943233318032	0.0592693265911	0.0686260893837	0.0573833335939
5	0.161911699372	0.0714427136589	0.0251597750102	0.318905284498	0.0788769242083	0.0154814544774	0.0582118325739	0.00668368199608	0.110162208402	0.0243961212149
6	0.0232128884868	0.241413075111	0.0218177752267	0.0488484804383	0.206314115247	0.112205736865	0.06006221792	0.542305073203	0.119780811033	0.0805711395877
7	0.748740355235	0.216175417408	0.0713781054113	0.106161680702	0.141697020861	0.0887288726357	0.0992142036613	0.126996315184	0.00369711547664	0.0181164208494
8	0.132533202366	0.185309017693	0.0668290156262	0.131654908677	0.0726011348664	0.093266111693	0.0543976023666	0.0618392350537	0.0514923073886	0.0837773186456
9	0.151345342462	0.603294386178	0.0977599983329	0.00779994432648	0.102610051896	0.105740803482	0.221465263967	0.212587124203	0.0110636620569	0.0528305515548
10	0.196281091505	0.803157162801	0.099560609505	0.0609098325228	0.0931593139431	0.170685395556	0.0269346578015	0.0066616579424	0.00868565200943	0.0108283125922
11	0.239966701697	0.0623531827171	0.743331762307	0.0904324195984	0.0629326940584	0.0442256878661	0.145362612785	0.0333535980025	0.0846727271392	0.0181651030051
12	0.143228677499	0.106103633338	0.439142488959	0.0494252288706	0.267217662002	0.0502646424933	0.177058659234	0.0245815961003	0.097075305511	0.564786928485
13	0.449732837737	0.556955391827	0.0627673043651	0.201125821477	0.00644393862941	0.0856209422514	0.0544981302133	0.0650377776417	0.112233738577	0.279755912337
14	0.0771298112675	0.220959744468	0.186714408341	0.0177137786181	0.133143300298	0.259638891507	0.0783930777086	0.117497979188	0.0830087935044	0.00878850637035
15	0.224600372267	0.142049676278	0.0673788773909	0.109239272238	0.911163106618	0.0324186347787	0.138106438615	0.063298783446	0.0961738038106	0.0708885857672
16	0.186453976607	0.0292017800972	0.441712309647	0.0379695840582	0.137553592905	0.0495066743584	0.0859252609924	0.0654718528758	0.0502922823091	0.357406716412
17	0.100481781927	0.0523680555905	0.0559777697758	0.334355319376	0.029611042836	0.339653053365	0.0893677925582	0.0582319191421	0.108932728641	0.0433311195811
18	0.00140455032499	0.845669040588	0.110017594647	0.466380158267	0.199606247942	0.150686146497	0.00960353304064	0.0256086175808	0.0481705161481	0.0786379634158
19	0.0540971605971	0.173230027434	0.131312108572	0.0495018073196	0.182157581282	0.0856139048677	0.477510273485	0.0496778663984	0.0134286613714	0.0427421708791
20	0.393061835917	0.0344599933139	0.152291124594	0.230883525755	0.0639653236886	0.0237692444843	0.303993698413	0.0142577740591	0.0911560062847	0.0550855171264
21	0.115709336259	0.144684840223	0.488829584195	0.034365879513	0.0720268050472	0.245564507834	0.0833484628699	0.394314493122	0.0696703904442	0.0705824052829
22	0.0869908568679	0.470407136941	0.322393989979	0.997235154148	0.0302587479984	0.0671282319334	0.136169185725	0.113694851543	0.0115731549216	0.0808587614686
23	0.176294279961	0.0829970258053	0.116471963425	0.123128821438	0.0491123929343	0.0217545197839	0.0185868188741	0.0787583029845	0.00973700458067	0.00378851629177
24	0.189223016968	0.190578254244	0.148712594438	0.00415945126637	0.110716486249	0.0370389192692	0.0398874489031	0.0885737639406	0.289336172481	0.610343404178
25	0.474593777588	0.107975517642	0.139301390111	0.11396603265	0.00744426908561	0.0915984271769	0.13287201104	0.0820373968165	0.0814419945368	0.141857333669
26	0.803108477144	0.0522487631509	0.342552213599	0.00277878581363	0.106106451813	0.117973486497	0.0121824425683	0.0585517601142	0.201724799978	0.0333248555434
27	0.0818702837398	0.131664390866	0.11874271567	0.0675722784353	0.12504316697	0.0392647193477	0.21055688628	0.0930747691414	0.0844750524342	0.00306241106249
28	0.16829762881	0.0245563750084	0.0665832775098	0.0537658116257	0.158043752436	0.0155551031657	0.0602559779898	0.0712337064731	0.80114266801	0.236210995475
29	0.38126953722	0.805368348523	0.0752961431285	0.0413295943345	0.0818520710617	0.0658811606933	0.0832742145516	0.0654711122524	0.0884319633237	0.165670702556
30	0.107442228378	0.164684651781	0.0239087068997	0.0114457741385	0.0713119717144	0.0683916871117	0.196864986172	0.0366126341675	0.0468074821321	0.0183277107108
31	0.475707944744	0.126767662784	0.101644483919	0.376050276571	0.161597654365	0.0763903372518	0.0779927081894	0.0873796474021	0.0346609522298	0.0104585278036
