user	item	timestamp
477	1248	0
199	44	86400
779	196	172800
695	566	259200
380	1	345600
518	498	432000
331	593	518400
878	2	604800
942	24	691200
474	210	777600
684	197	864000
779	183	950400
716	3131	1036800
632	0	1123200
873	960	1209600
509	42	1296000
538	1	1382400
181	6	1468800
603	0	1555200
140	21	1641600
701	0	1728000
731	3	1814400
503	12	1900800
65	2395	1987200
872	19	2073600
320	477	2160000
725	101	2246400
618	0	2332800
456	299	2419200
823	2205	2505600
703	0	2592000
63	7	2678400
845	1	2764800
244	12	2851200
24	105	2937600
409	3	3024000
328	3388	3110400
429	2	3196800
712	214	3283200
156	806	3369600
830	0	3456000
708	291	3542400
108	672	3628800
165	1	3715200
538	0	3801600
225	4	3888000
331	0	3974400
546	1254	4060800
376	2629	4147200
495	1	4233600
585	0	4320000
789	30	4406400
505	46	4492800
767	100	4579200
479	92	4665600
491	2	4752000
53	0	4838400
569	3	4924800
508	13	5011200
357	1979	5097600
841	0	5184000
540	443	5270400
226	161	5356800
390	1436	5443200
364	3192	5529600
362	1	5616000
303	1920	5702400
641	0	5788800
952	3357	5875200
854	385	5961600
414	13	6048000
504	47	6134400
321	6	6220800
518	0	6307200
522	260	6393600
376	170	6480000
461	16	6566400
455	2712	6652800
64	348	6739200
639	3735	6825600
819	396	6912000
872	46	6998400
379	3	7084800
189	1986	7171200
704	151	7257600
219	6	7344000
816	0	7430400
814	5	7516800
184	7	7603200
626	264	7689600
326	3909	7776000
195	1636	7862400
178	169	7948800
383	1	8035200
689	120	8121600
649	121	8208000
215	3	8294400
36	754	8380800
808	81	8467200
128	551	8553600
654	393	8640000
957	1147	8726400
41	3	8812800
819	14	8899200
621	2	8985600
760	993	9072000
770	8	9158400
150	452	9244800
108	4157	9331200
821	1528	9417600
489	54	9504000
558	39	9590400
891	3992	9676800
527	217	9763200
123	950	9849600
179	73	9936000
828	122	10022400
866	0	10108800
437	41	10195200
149	59	10281600
291	0	10368000
716	3254	10454400
7	12	10540800
963	21	10627200
14	13	10713600
429	115	10800000
572	0	10886400
382	3591	10972800
826	1474	11059200
926	112	11145600
